query,expected_answer
What is a hedge?,"An investment or contract intended to reduce the risk of adverse price movements in another asset. Common hedging instruments include futures, options, and currency forwards."
What does 'underwriting' mean in insurance?,"The process by which an insurer evaluates the risk of insuring an applicant, decides whether to offer coverage, and at what price and terms."
What is 7 factorial (7!)?,5040
Can my insurer cancel my policy after a claim?,"Mid-term cancellation is usually limited to specific reasons (fraud, non-payment, material misrepresentation). At renewal, the insurer may decline to renew based on claims history, subject to local regulation."
What is EBITDA?,"Earnings Before Interest, Taxes, Depreciation, and Amortization. A proxy for operating cash flow used to compare profitability across companies with different capital structures."
What is the sum of angles in a triangle?,180 degrees
How do you serialize a Python dict to a JSON string?,import json\njson.dumps(my_dict)  # add ensure_ascii=False for non-ASCII; indent=2 for pretty-printing
What is 'loss adjustment expense' (LAE)?,"Costs the insurer incurs to investigate, defend, and settle claims—e.g., adjuster fees, legal expenses—separate from the indemnity paid on the claim itself."
Write a Python dict comprehension that maps each word in a list to its length.,{w: len(w) for w in words}
What is beta in finance?,A measure of a stock's volatility relative to the market. Beta = 1 means it moves with the market; >1 more volatile; <1 less; negative betas move opposite the market on average.
Write a Python context manager that times the code inside it.,from contextlib import contextmanager\nimport time\n\n@contextmanager\ndef timer(label='block'):\n    t0 = time.perf_counter()\n    yield\n    print(f'{label}: {time.perf_counter() - t0:.4f}s')
What is a 'release' in claim settlement?,"A document the claimant signs agreeing to accept the settlement amount in full satisfaction of the claim, releasing the insurer (and often the responsible party) from further liability for the loss."
What is market capitalization?,"The total market value of a company's outstanding shares: share price multiplied by number of shares outstanding. Used to size companies as small-, mid-, or large-cap."
What is 'loss of use' coverage?,"Reimburses additional living expenses (e.g., hotel, restaurants) if your home becomes uninhabitable due to a covered loss—up to a defined limit and time period."
What is a 'depreciation holdback'?,"Under replacement-cost coverage, the insurer first pays ACV (actual cash value); the depreciation portion is paid only after the insured completes the repair or replacement and submits proof."
What is the smallest unit of life?,The cell.
Write a SQL query to count the number of customers per country in a `customers` table.,"SELECT country, COUNT(*) AS customer_count\nFROM customers\nGROUP BY country\nORDER BY customer_count DESC;"
What is 'pet insurance'?,"A policy reimbursing veterinary costs for accidents, illnesses, and—depending on plan—routine care, after a deductible and subject to limits and exclusions."
What language has the most native speakers?,Mandarin Chinese has the most native speakers worldwide.
"Compute the monthly payment on a $200,000 mortgage at a 5% annual rate over 30 years.","About $1,073.64 per month. Using M = P*r/(1-(1+r)^-n) with P=200000, r=0.05/12, n=360."
What is a list comprehension and when should you use one?,A concise expression for building a list from an iterable: `[expr for x in iterable if cond]`. Use it for simple transformations and filters; for complex logic prefer a regular for-loop for readability.
What is the slope of the line y = 3x + 2?,3
How do you reverse a string in Python in one line?,Use slicing: s[::-1]
What is the capital of Canada?,Ottawa.
What is a balance sheet?,"A financial statement showing a company's assets, liabilities, and shareholders' equity at a single point in time. Assets always equal liabilities plus equity."
What is the difference between a stack and a queue?,"A stack is LIFO (last-in, first-out): push/pop at the same end. A queue is FIFO (first-in, first-out): enqueue at the back, dequeue at the front."
What is a mutual fund?,An investment vehicle that pools money from many investors to buy a diversified portfolio managed by a professional. Investors hold shares of the fund and trade at end-of-day NAV.
What is the difference between a Roth IRA and a traditional IRA?,"Traditional IRA: contributions may be tax-deductible, withdrawals in retirement are taxed. Roth IRA: contributions are after-tax, qualified withdrawals are tax-free. Income limits and rules differ."
What is the capital of France?,Paris
What is a credit score?,"A numeric rating (commonly 300-850 in the U.S.) summarizing a person's creditworthiness based on payment history, credit utilization, length of history, mix, and new credit."
How do catastrophe (CAT) claims differ from regular ones?,"CAT claims involve large-scale events (hurricanes, earthquakes, wildfires) generating many simultaneous claims. Insurers deploy CAT teams, may apply special CAT deductibles, and adjusting timelines often stretch."
What is the largest ocean on Earth?,The Pacific Ocean.
Who wrote Romeo and Juliet?,William Shakespeare
What is the largest desert in the world?,"Antarctica is the largest desert by area, classified as a polar desert. Among hot deserts, the Sahara is the largest."
What is the formula for the volume of a sphere?,V = (4/3)πr³
What is the chemical symbol for gold?,Au
What is REST?,"Representational State Transfer: an architectural style for networked APIs using stateless HTTP methods (GET, POST, PUT, PATCH, DELETE) on resources identified by URLs, typically returning JSON."
What is a Python generator?,"A function that uses `yield` to produce values lazily, one at a time. It maintains its state between calls and is memory-efficient for large or infinite sequences."
What is leverage in finance?,Using borrowed capital to increase potential return on investment. Leverage amplifies both gains and losses and increases risk if the underlying investment underperforms.
What is 'lapse' of an insurance policy?,"Termination of the policy because the insured failed to pay the premium by the end of the grace period. Coverage ceases until the policy is reinstated, if allowed."
What is the unit of electrical resistance?,The ohm (Ω).
What is an IRA?,Individual Retirement Account: a U.S. tax-advantaged personal retirement account. Traditional IRAs offer tax-deferred growth; Roth IRAs offer tax-free growth on after-tax contributions.
What is 'umbrella insurance'?,"A policy providing extra liability coverage above the limits of underlying policies (auto, home), and sometimes covering claims excluded by them, such as libel or slander."
What is a SQL injection and how do you prevent it?,"An attack where untrusted input is concatenated into SQL, letting attackers run arbitrary queries. Prevent it by using parameterized queries or prepared statements, never string concatenation, and by applying least-privilege database accounts."
What is the difference between a first-party and a third-party claim?,A first-party claim is filed by the policyholder against their own insurer for their own loss. A third-party claim is filed by someone else against the policyholder's liability insurance for damage the policyholder caused.
What does NATO stand for?,North Atlantic Treaty Organization.
What if two insurance policies cover the same loss?,"The policies' 'other insurance' clauses determine the order of payment—primary, excess, or pro rata. Insurers coordinate so the insured isn't paid twice for the same loss (per the indemnity principle)."
Should I get my own repair estimate after an auto claim?,"Yes—an independent estimate from a trusted repair shop helps verify the insurer's appraisal, supports negotiations if the offer seems low, and gives a clearer view of repair quality and timelines."
What is the largest organ in the human body?,The skin.
Write a Python function that returns the GCD of two integers.,"from math import gcd\n# Or implement it:\n# def gcd(a, b):\n#     while b:\n#         a, b = b, a % b\n#     return abs(a)"
